C,H,O,N,C13,S,P,El_comp,Class,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,molecular formula,outline,specifics,MSCC
19,28,7,0,0,0,0,CHO,Lignin,6.0,-1.0,0.0,0.16129,0.36842,1.47368,0.0,0.0,0.0,0.0,-0.73684,81.3,0.36842,368.0,0.01755,0.47897,2.4665,0.51092,0.1777,0.359,C19H28O7,PUCs,Lignin-like,Lipid
20,32,6,0,0,0,0,CHO,Protein,5.0,-1.0,0.0,0.11765,0.3,1.6,0.0,0.0,0.0,0.0,-1.0,88.8,0.3,368.0,0.0242,0.52078,2.42502,0.55273,0.21948,0.40079,C20H32O6,UAAs,Aliphatic-like,Lipid
14,12,11,0,1,0,0,CHO,Tannin,9.0,-2.0,0.0,0.41176,0.78571,0.85714,0.0,0.0,0.0,0.0,0.71429,39.94286,0.78571,357.0,0.18187,0.29958,2.55652,0.33056,0.00746,0.18325,C(13)14H12O11,PUCs,Tannin-like,POCs
15,17,8,0,1,0,1,CHOP,Lignin,8.0,0.0,0.0,0.3,0.53333,1.13333,0.0,0.06667,0.0,inf,-0.4,71.7,0.53333,357.0,0.1565,0.32499,2.53132,0.35597,0.03284,0.20865,C(13)15H17O8P,PUCs,Lignin-like,POCs
15,16,10,0,1,0,0,CHO,Lignin,8.0,-2.0,0.0,0.3,0.66667,1.06667,0.0,0.0,0.0,0.0,0.26667,52.7,0.66667,357.0,0.14012,0.34139,2.51504,0.37238,0.04923,0.22505,C(13)15H16O10,PUCs,Lignin-like,POCs
16,21,7,0,1,0,1,CHOP,Lignin,7.0,0.0,0.0,0.21739,0.4375,1.3125,0.0,0.0625,0.0,inf,-0.75,81.675,0.4375,357.0,0.11475,0.3668,2.48984,0.39779,0.07462,0.25045,C(13)16H21O7P,PUCs,Lignin-like,POCs
16,20,9,0,1,0,0,CHO,Lignin,7.0,-2.0,0.0,0.21739,0.5625,1.25,0.0,0.0,0.0,0.0,-0.125,63.8625,0.5625,357.0,0.09837,0.3832,2.47357,0.41419,0.09101,0.26684,C(13)16H20O9,PUCs,Lignin-like,POCs
17,25,6,0,1,0,1,CHOP,Lignin,6.0,0.0,0.0,0.15385,0.35294,1.47059,0.0,0.05882,0.0,inf,-1.05882,90.47647,0.35294,357.0,0.07299,0.40861,2.44837,0.4396,0.11639,0.29224,C(13)17H25O6P,PUCs,Lignin-like,Lipid
17,24,8,0,1,0,0,CHO,Lignin,6.0,-2.0,0.0,0.15385,0.47059,1.41176,0.0,0.0,0.0,0.0,-0.47059,73.71176,0.47059,357.0,0.05661,0.42501,2.43209,0.456,0.13278,0.30864,C(13)17H24O8,PUCs,Lignin-like,Lipid
18,28,7,0,1,0,0,CHO,Lignin,5.0,-2.0,0.0,0.10345,0.38889,1.55556,0.0,0.0,0.0,0.0,-0.77778,82.46667,0.38889,357.0,0.01486,0.46682,2.39062,0.49782,0.17456,0.35044,C(13)18H28O7,UAAs,Aliphatic-like,Lipid
14,10,12,0,0,0,0,CHO,ConHC,10.0,-2.0,0.0,0.5,0.85714,0.71429,0.0,0.0,0.0,0.0,1.0,31.8,0.85714,370.0,0.21297,0.28599,2.67393,0.31809,0.01676,0.16543,C14H10O12,PPAs,Polyphenol-like,POCs
18,10,9,0,0,0,0,CHO,ConHC,14.0,5.0,0.55556,0.7037,0.5,0.55556,0.0,0.0,0.0,0.0,0.44444,47.63333,0.5,370.0,0.17162,0.3274,2.63285,0.3595,0.02462,0.20682,C18H10O9,PAs,Cond. aromatic-like,POCs
15,14,9,0,0,1,0,CHOS,Lignin,9.0,0.0,0.0,0.36842,0.6,0.93333,0.0,0.0,0.0,0.0,0.4,48.9,0.6,370.0,0.11028,0.38881,2.57192,0.42092,0.08598,0.26822,C15H14O9S,PUCs,Lignin-like,POCs
19,15,4,0,0,1,1,CHOSP,ConHC,13.0,9.0,0.53846,0.6,0.21053,0.78947,0.0,0.05263,0.0,inf,-0.52632,75.3,0.21053,370.0,0.08531,0.41382,2.54712,0.44593,0.11097,0.29321,C19H15O4SP,PPAs,Polyphenol-like,POCs
15,15,9,0,0,0,1,CHOP,Lignin,9.0,0.0,0.0,0.36842,0.6,1.0,0.0,0.06667,0.0,inf,-0.13333,64.1,0.6,370.0,0.1876,0.31139,2.64872,0.3435,0.00863,0.19082,C15H15O9P,PUCs,Lignin-like,POCs
15,14,11,0,0,0,0,CHO,Tannin,9.0,-2.0,0.0,0.36842,0.73333,0.93333,0.0,0.0,0.0,0.0,0.53333,45.1,0.73333,370.0,0.17122,0.3278,2.63245,0.35991,0.02502,0.20722,C15H14O11,PUCs,Tannin-like,POCs
19,14,8,0,0,0,0,CHO,ConHC,13.0,5.0,0.45455,0.6,0.42105,0.73684,0.0,0.0,0.0,0.0,0.10526,57.3,0.42105,370.0,0.12986,0.36921,2.59137,0.40132,0.06639,0.24862,C19H14O8,PPAs,Polyphenol-like,POCs
16,18,8,0,0,1,0,CHOS,Lignin,8.0,0.0,0.0,0.27273,0.5,1.125,0.0,0.0,0.0,0.0,0.0,60.3,0.5,370.0,0.06853,0.43062,2.53045,0.46274,0.12776,0.31001,C16H18O8S,PUCs,Lignin-like,POCs
20,19,3,0,0,1,1,CHOSP,Lignin,12.0,9.0,0.46667,0.51515,0.15,0.95,0.0,0.05,0.0,inf,-0.8,83.1,0.15,370.0,0.04356,0.45563,2.50564,0.48775,0.15274,0.33501,C20H19O3SP,PPAs,Polyphenol-like,POCs
16,19,8,0,0,0,1,CHOP,Lignin,8.0,0.0,0.0,0.27273,0.5,1.1875,0.0,0.0625,0.0,inf,-0.5,74.55,0.5,370.0,0.14584,0.3532,2.60725,0.38531,0.0504,0.23262,C16H19O8P,PUCs,Lignin-like,POCs
16,18,10,0,0,0,0,CHO,Lignin,8.0,-2.0,0.0,0.27273,0.625,1.125,0.0,0.0,0.0,0.0,0.125,56.7375,0.625,370.0,0.12946,0.36961,2.59098,0.40172,0.06679,0.24902,C16H18O10,PUCs,Lignin-like,POCs
15,18,9,2,0,0,0,CHON,Lignin,8.0,-1.0,0.0,0.17647,0.6,1.2,0.13333,0.0,inf,0.0,0.4,48.9,0.73333,370.0,0.12527,0.37381,2.58681,0.40592,0.07099,0.25322,C15H18O9N2,PUCs,Lignin-like,Proteins
20,18,7,0,0,0,0,CHO,Lignin,12.0,5.0,0.38462,0.51515,0.35,0.9,0.0,0.0,0.0,0.0,-0.2,66.0,0.35,370.0,0.08811,0.41102,2.5499,0.44313,0.10817,0.29041,C20H18O7,PPAs,Polyphenol-like,POCs
17,23,7,0,0,0,1,CHOP,Lignin,7.0,0.0,0.0,0.2,0.41176,1.35294,0.0,0.05882,0.0,inf,-0.82353,83.77059,0.41176,370.0,0.10409,0.39501,2.56577,0.42713,0.09218,0.27442,C17H23O7P,PUCs,Lignin-like,Lipid
17,22,9,0,0,0,0,CHO,Lignin,7.0,-2.0,0.0,0.2,0.52941,1.29412,0.0,0.0,0.0,0.0,-0.23529,67.00588,0.52941,370.0,0.08771,0.41142,2.5495,0.44353,0.10857,0.29081,C17H22O9,PUCs,Lignin-like,POCs
28,18,1,0,0,0,0,CHO,ConHC,20.0,19.0,0.7037,0.70909,0.03571,0.64286,0.0,0.0,0.0,0.0,-0.57143,76.58571,0.03571,370.0,0.0054,0.49383,2.46774,0.52596,0.19092,0.37321,C28H18O,PAs,Cond. aromatic-like,POCs
21,22,6,0,0,0,0,CHO,Lignin,11.0,5.0,0.33333,0.44444,0.28571,1.04762,0.0,0.0,0.0,0.0,-0.47619,73.87143,0.28571,370.0,0.04636,0.45283,2.50842,0.48494,0.14994,0.33221,C21H22O6,PUCs,Lignin-like,POCs
18,27,6,0,0,0,1,CHOP,Protein,6.0,0.0,0.0,0.14286,0.33333,1.5,0.0,0.05556,0.0,inf,-1.11111,91.96667,0.33333,370.0,0.06234,0.43682,2.5243,0.46894,0.13395,0.31621,C18H27O6P,UAAs,Aliphatic-like,Lipid
18,26,8,0,0,0,0,CHO,Lignin,6.0,-2.0,0.0,0.14286,0.44444,1.44444,0.0,0.0,0.0,0.0,-0.55556,76.13333,0.44444,370.0,0.04596,0.45323,2.50802,0.48534,0.15034,0.33261,C18H26O8,PUCs,Lignin-like,Lipid
19,31,5,0,0,0,1,CHOP,Lipid,5.0,0.0,0.0,0.09677,0.26316,1.63158,0.0,0.05263,0.0,inf,-1.36842,99.3,0.26316,370.0,0.02058,0.47863,2.48282,0.51075,0.17573,0.35801,C19H31O5P,UAAs,Aliphatic-like,Lipid
19,30,7,0,0,0,0,CHO,Protein,5.0,-2.0,0.0,0.09677,0.36842,1.57895,0.0,0.0,0.0,0.0,-0.84211,84.3,0.36842,370.0,0.0042,0.49503,2.46655,0.52716,0.19212,0.37441,C19H30O7,UAAs,Aliphatic-like,Lipid
20,34,6,0,0,0,0,CHO,Protein,4.0,-2.0,0.0,0.05882,0.3,1.7,0.0,0.0,0.0,0.0,-1.1,91.65,0.3,370.0,0.03755,0.53684,2.42507,0.56897,0.23389,0.4162,C20H34O6,UAAs,Aliphatic-like,Lipid
14,15,9,0,1,0,1,CHOP,Lignin,8.0,-1.0,0.0,0.29412,0.64286,1.07143,0.0,0.07143,0.0,inf,-0.14286,64.37143,0.64286,359.0,0.1849,0.29925,2.57284,0.3304,0.00548,0.18226,C(13)14H15O9P,PUCs,Lignin-like,POCs
14,14,11,0,1,0,0,CHO,Tannin,8.0,-3.0,0.0,0.29412,0.78571,1.0,0.0,0.0,0.0,0.0,0.57143,44.01429,0.78571,359.0,0.16852,0.31565,2.55657,0.3468,0.02187,0.19866,C(13)14H14O11,PUCs,Tannin-like,POCs
15,19,8,0,1,0,1,CHOP,Lignin,7.0,-1.0,0.0,0.2,0.53333,1.26667,0.0,0.06667,0.0,inf,-0.53333,75.5,0.53333,359.0,0.14315,0.34106,2.53137,0.37221,0.04726,0.22406,C(13)15H19O8P,PUCs,Lignin-like,POCs
15,18,10,0,1,0,0,CHO,Lignin,7.0,-3.0,0.0,0.2,0.66667,1.2,0.0,0.0,0.0,0.0,0.13333,56.5,0.66667,359.0,0.12677,0.35746,2.51509,0.38862,0.06365,0.24046,C(13)15H18O10,PUCs,Lignin-like,POCs
16,23,7,0,1,0,1,CHOP,Lignin,6.0,-1.0,0.0,0.13043,0.4375,1.4375,0.0,0.0625,0.0,inf,-0.875,85.2375,0.4375,359.0,0.1014,0.38287,2.48989,0.41403,0.08903,0.26586,C(13)16H23O7P,PUCs,Lignin-like,Lipid
16,22,9,0,1,0,0,CHO,Lignin,6.0,-3.0,0.0,0.13043,0.5625,1.375,0.0,0.0,0.0,0.0,-0.25,67.425,0.5625,359.0,0.08502,0.39927,2.47362,0.43043,0.10543,0.28225,C(13)16H22O9,PUCs,Lignin-like,Lipid
17,27,6,0,1,0,1,CHOP,Protein,5.0,-1.0,0.0,0.07692,0.35294,1.58824,0.0,0.05882,0.0,inf,-1.17647,93.82941,0.35294,359.0,0.05964,0.42468,2.44842,0.45584,0.13081,0.30765,C(13)17H27O6P,UAAs,Aliphatic-like,Lipid
17,26,8,0,1,0,0,CHO,Lignin,5.0,-3.0,0.0,0.07692,0.47059,1.52941,0.0,0.0,0.0,0.0,-0.58824,77.06471,0.47059,359.0,0.04326,0.44108,2.43214,0.47224,0.1472,0.32405,C(13)17H26O8,UAAs,Aliphatic-like,Lipid
14,12,10,0,0,1,0,CHOS,Tannin,9.0,-1.0,0.0,0.375,0.71429,0.85714,0.0,0.0,0.0,0.0,0.71429,39.94286,0.71429,372.0,0.13869,0.36307,2.61345,0.39535,0.05862,0.24183,C14H12O10S,PUCs,Tannin-like,POCs
14,13,10,0,0,0,1,CHOP,Tannin,9.0,-1.0,0.0,0.375,0.71429,0.92857,0.0,0.07143,0.0,inf,0.14286,56.22857,0.71429,372.0,0.216,0.28565,2.69025,0.31793,0.01873,0.16444,C14H13O10P,PUCs,Tannin-like,POCs
14,12,12,0,0,0,0,CHO,Tannin,9.0,-3.0,0.0,0.375,0.85714,0.85714,0.0,0.0,0.0,0.0,0.85714,35.87143,0.85714,372.0,0.19962,0.30205,2.67398,0.33433,0.00234,0.18084,C14H12O12,PUCs,Tannin-like,POCs
18,12,9,0,0,0,0,CHO,ConHC,13.0,4.0,0.44444,0.62963,0.5,0.66667,0.0,0.0,0.0,0.0,0.33333,50.8,0.5,372.0,0.15827,0.34346,2.6329,0.37575,0.03903,0.22223,C18H12O9,PPAs,Polyphenol-like,POCs
15,16,9,0,0,1,0,CHOS,Lignin,8.0,-1.0,0.0,0.26316,0.6,1.06667,0.0,0.0,0.0,0.0,0.26667,52.7,0.6,372.0,0.09693,0.40488,2.57197,0.43717,0.1004,0.28363,C15H16O9S,PUCs,Lignin-like,POCs
19,17,4,0,0,1,1,CHOSP,Lignin,12.0,8.0,0.46154,0.53333,0.21053,0.89474,0.0,0.05263,0.0,inf,-0.63158,78.3,0.21053,372.0,0.07196,0.42988,2.54717,0.46217,0.12538,0.30862,C19H17O4SP,PPAs,Polyphenol-like,POCs
15,17,9,0,0,0,1,CHOP,Lignin,8.0,-1.0,0.0,0.26316,0.6,1.13333,0.0,0.06667,0.0,inf,-0.26667,67.9,0.6,372.0,0.17425,0.32746,2.64877,0.35974,0.02304,0.20623,C15H17O9P,PUCs,Lignin-like,POCs
15,16,11,0,0,0,0,CHO,Tannin,8.0,-3.0,0.0,0.26316,0.73333,1.06667,0.0,0.0,0.0,0.0,0.4,48.9,0.73333,372.0,0.15787,0.34386,2.6325,0.37615,0.03943,0.22263,C15H16O11,PUCs,Tannin-like,POCs
26,12,3,0,0,0,0,CHO,ConHC,21.0,18.0,0.78261,0.79592,0.11538,0.46154,0.0,0.0,0.0,0.0,-0.23077,66.87692,0.11538,372.0,0.07556,0.42628,2.55074,0.45857,0.12179,0.30502,C26H12O3,PAs,Cond. aromatic-like,POCs
19,16,8,0,0,0,0,CHO,Lignin,12.0,4.0,0.36364,0.53333,0.42105,0.84211,0.0,0.0,0.0,0.0,0.0,60.3,0.42105,372.0,0.11651,0.38527,2.59142,0.41756,0.08081,0.26403,C19H16O8,PPAs,Polyphenol-like,POCs
16,20,8,0,0,1,0,CHOS,Lignin,7.0,-1.0,0.0,0.18182,0.5,1.25,0.0,0.0,0.0,0.0,-0.125,63.8625,0.5,372.0,0.05518,0.44669,2.5305,0.47898,0.14217,0.32542,C16H20O8S,PUCs,Lignin-like,POCs
16,21,8,0,0,0,1,CHOP,Lignin,7.0,-1.0,0.0,0.18182,0.5,1.3125,0.0,0.0625,0.0,inf,-0.625,78.1125,0.5,372.0,0.13249,0.36927,2.6073,0.40155,0.06482,0.24803,C16H21O8P,PUCs,Lignin-like,POCs
16,20,10,0,0,0,0,CHO,Lignin,7.0,-3.0,0.0,0.18182,0.625,1.25,0.0,0.0,0.0,0.0,0.0,60.3,0.625,372.0,0.11611,0.38567,2.59103,0.41796,0.08121,0.26443,C16H20O10,PUCs,Lignin-like,POCs
27,16,2,0,0,0,0,CHO,ConHC,20.0,18.0,0.72,0.73077,0.07407,0.59259,0.0,0.0,0.0,0.0,-0.44444,72.96667,0.07407,372.0,0.03381,0.46809,2.50927,0.50039,0.16356,0.34682,C27H16O2,PAs,Cond. aromatic-like,POCs
20,20,7,0,0,0,0,CHO,Lignin,11.0,4.0,0.30769,0.45455,0.35,1.0,0.0,0.0,0.0,0.0,-0.3,68.85,0.35,372.0,0.07476,0.42708,2.54995,0.45937,0.12258,0.30582,C20H20O7,PUCs,Lignin-like,POCs
17,24,7,0,0,1,0,CHOS,Lignin,6.0,-1.0,0.0,0.12,0.41176,1.41176,0.0,0.0,0.0,0.0,-0.47059,73.71176,0.41176,372.0,0.01343,0.4885,2.48902,0.52079,0.18395,0.36722,C17H24O7S,PUCs,Lignin-like,Lipid
17,25,7,0,0,0,1,CHOP,Lignin,6.0,-1.0,0.0,0.12,0.41176,1.47059,0.0,0.05882,0.0,inf,-0.94118,87.12353,0.41176,372.0,0.09074,0.41108,2.56582,0.44337,0.10659,0.28983,C17H25O7P,PUCs,Lignin-like,Lipid
17,24,9,0,0,0,0,CHO,Lignin,6.0,-3.0,0.0,0.12,0.52941,1.41176,0.0,0.0,0.0,0.0,-0.35294,70.35882,0.52941,372.0,0.07436,0.42748,2.54955,0.45977,0.12298,0.30622,C17H24O9,PUCs,Lignin-like,Lipid
28,20,1,0,0,0,0,CHO,ConHC,19.0,18.0,0.66667,0.67273,0.03571,0.71429,0.0,0.0,0.0,0.0,-0.64286,78.62143,0.03571,372.0,0.00795,0.5099,2.46779,0.5422,0.20534,0.38862,C28H20O,PAs,Cond. aromatic-like,POCs
21,24,6,0,0,0,0,CHO,Lignin,10.0,4.0,0.26667,0.38889,0.28571,1.14286,0.0,0.0,0.0,0.0,-0.57143,76.58571,0.28571,372.0,0.03301,0.46889,2.50847,0.50119,0.16436,0.34762,C21H24O6,PUCs,Lignin-like,POCs
18,29,6,0,0,0,1,CHOP,Protein,5.0,-1.0,0.0,0.07143,0.33333,1.61111,0.0,0.05556,0.0,inf,-1.22222,95.13333,0.33333,372.0,0.04899,0.45289,2.52435,0.48518,0.14837,0.33162,C18H29O6P,UAAs,Aliphatic-like,Lipid
18,28,8,0,0,0,0,CHO,Protein,5.0,-3.0,0.0,0.07143,0.44444,1.55556,0.0,0.0,0.0,0.0,-0.66667,79.3,0.44444,372.0,0.03261,0.46929,2.50807,0.50159,0.16476,0.34802,C18H28O8,UAAs,Aliphatic-like,Lipid
22,28,5,0,0,0,0,CHO,Lignin,9.0,4.0,0.23529,0.33333,0.22727,1.27273,0.0,0.0,0.0,0.0,-0.81818,83.61818,0.22727,372.0,0.00875,0.5107,2.467,0.543,0.20614,0.38942,C22H28O5,PUCs,Lignin-like,POCs
19,33,5,0,0,0,1,CHOP,Lipid,4.0,-1.0,0.0,0.03226,0.26316,1.73684,0.0,0.05263,0.0,inf,-1.47368,102.3,0.26316,372.0,0.00723,0.4947,2.48287,0.52699,0.19015,0.37342,C19H33O5P,UAAs,Aliphatic-like,Lipid
17,11,9,1,0,0,0,CHON,ConHC,13.0,4.0,0.42857,0.65217,0.52941,0.64706,0.05882,0.0,inf,0.0,0.58824,43.53529,0.58824,373.0,0.17037,0.33269,2.65158,0.36506,0.02745,0.21114,C17H11O9N,PPAs,Polyphenol-like,Not Matched
14,17,9,0,1,0,1,CHOP,Lignin,7.0,-2.0,0.0,0.17647,0.64286,1.21429,0.0,0.07143,0.0,inf,-0.28571,68.44286,0.64286,361.0,0.17155,0.31531,2.57289,0.34664,0.0199,0.19767,C(13)14H17O9P,PUCs,Lignin-like,POCs
14,16,11,0,1,0,0,CHO,Tannin,7.0,-4.0,0.0,0.17647,0.78571,1.14286,0.0,0.0,0.0,0.0,0.42857,48.08571,0.78571,361.0,0.15517,0.33172,2.55662,0.36305,0.03629,0.21407,C(13)14H16O11,PUCs,Tannin-like,POCs
18,15,8,1,0,0,0,CHON,Lignin,12.0,4.0,0.33333,0.53846,0.44444,0.83333,0.05556,0.0,inf,0.0,0.22222,53.96667,0.5,373.0,0.12862,0.3745,2.6101,0.40687,0.06923,0.25293,C18H15O8N,PPAs,Polyphenol-like,Not Matched
15,21,8,0,1,0,1,CHOP,Lignin,6.0,-2.0,0.0,0.1,0.53333,1.4,0.0,0.06667,0.0,inf,-0.66667,79.3,0.53333,361.0,0.1298,0.35712,2.53142,0.38845,0.06168,0.23947,C(13)15H21O8P,PUCs,Lignin-like,Lipid
15,20,10,0,1,0,0,CHO,Lignin,6.0,-4.0,0.0,0.1,0.66667,1.33333,0.0,0.0,0.0,0.0,0.0,60.3,0.66667,361.0,0.11342,0.37353,2.51514,0.40486,0.07807,0.25587,C(13)15H20O10,PUCs,Lignin-like,Not Matched
19,19,7,1,0,0,0,CHON,Lignin,11.0,4.0,0.27273,0.44828,0.36842,1.0,0.05263,0.0,inf,0.0,-0.10526,63.3,0.42105,373.0,0.08686,0.41631,2.56863,0.44869,0.111,0.29473,C19H19O7N,PUCs,Lignin-like,Not Matched
16,25,7,0,1,0,1,CHOP,Lignin,5.0,-2.0,0.0,0.04348,0.4375,1.5625,0.0,0.0625,0.0,inf,-1.0,88.8,0.4375,361.0,0.08805,0.39893,2.48994,0.43027,0.10345,0.28127,C(13)16H25O7P,UAAs,Aliphatic-like,Lipid
16,24,9,0,1,0,0,CHO,Lignin,5.0,-4.0,0.0,0.04348,0.5625,1.5,0.0,0.0,0.0,0.0,-0.375,70.9875,0.5625,361.0,0.07167,0.41534,2.47367,0.44667,0.11984,0.29766,C(13)16H24O9,UAAs,Aliphatic-like,Lipid
17,29,6,0,1,0,1,CHOP,Protein,4.0,-2.0,0.0,0.0,0.35294,1.70588,0.0,0.05882,0.0,inf,-1.29412,97.18235,0.35294,361.0,0.04629,0.44074,2.44847,0.47208,0.14523,0.32306,C(13)17H29O6P,UAAs,Aliphatic-like,Lipid
17,28,8,0,1,0,0,CHO,Protein,4.0,-4.0,0.0,0.0,0.47059,1.64706,0.0,0.0,0.0,0.0,-0.70588,80.41765,0.47059,361.0,0.02991,0.45715,2.43219,0.48849,0.16162,0.33946,C(13)17H28O8,UAAs,Aliphatic-like,Lipid
21,44,2,1,0,0,1,CHONP,Lipid,1.0,-1.0,0.0,0.0,0.09524,2.09524,0.04762,0.04762,1.0,1.0,-2.0,117.3,0.14286,374.0,0.89408,0.39065,3.37712,0.35825,0.69611,0.51229,C21H44O2NP,SSCs,Aliphatic-like,Lipid
13,11,11,0,0,0,1,CHOP,Tannin,9.0,-2.0,0.0,0.38462,0.84615,0.84615,0.0,0.07692,0.0,inf,0.46154,47.14615,0.84615,374.0,0.24441,0.25991,2.73177,0.29235,0.04609,0.13805,C13H11O11P,PUCs,Tannin-like,POCs
9,16,8,2,0,1,2,CHONSP,Carb,4.0,-4.0,0.0,0.0,0.88889,1.77778,0.22222,0.22222,1.0,1.0,-0.22222,66.63333,1.11111,374.0,0.19526,0.30912,2.68296,0.34157,0.00308,0.18725,C9H16O8N2SP2,N_Ccs,Aliphatic-like,Not Matched
17,10,10,0,0,0,0,CHO,ConHC,13.0,3.0,0.42857,0.66667,0.58824,0.58824,0.0,0.0,0.0,0.0,0.58824,43.53529,0.58824,374.0,0.18667,0.31772,2.67442,0.35017,0.01168,0.19584,C17H10O10,PPAs,Polyphenol-like,POCs
14,14,10,0,0,1,0,CHOS,Tannin,8.0,-2.0,0.0,0.25,0.71429,1.0,0.0,0.0,0.0,0.0,0.57143,44.01429,0.71429,374.0,0.12534,0.37913,2.6135,0.41159,0.07304,0.25724,C14H14O10S,PUCs,Tannin-like,POCs
14,15,10,0,0,0,1,CHOP,Tannin,8.0,-2.0,0.0,0.25,0.71429,1.07143,0.0,0.07143,0.0,inf,0.0,60.3,0.71429,374.0,0.20265,0.30171,2.6903,0.33417,0.00431,0.17985,C14H15O10P,PUCs,Tannin-like,POCs
14,14,12,0,0,0,0,CHO,Tannin,8.0,-4.0,0.0,0.25,0.85714,1.0,0.0,0.0,0.0,0.0,0.71429,39.94286,0.85714,374.0,0.18627,0.31812,2.67403,0.35057,0.01208,0.19624,C14H14O12,PUCs,Tannin-like,POCs
25,10,4,0,0,0,0,CHO,ConHC,21.0,17.0,0.80952,0.82609,0.16,0.4,0.0,0.0,0.0,0.0,-0.08,62.58,0.16,374.0,0.10396,0.40054,2.59227,0.433,0.09443,0.27864,C25H10O4,PAs,Cond. aromatic-like,POCs
18,14,9,0,0,0,0,CHO,ConHC,12.0,3.0,0.33333,0.55556,0.5,0.77778,0.0,0.0,0.0,0.0,0.22222,53.96667,0.5,374.0,0.14492,0.35953,2.63295,0.39199,0.05345,0.23764,C18H14O9,PPAs,Polyphenol-like,POCs
15,18,9,0,0,1,0,CHOS,Lignin,7.0,-2.0,0.0,0.15789,0.6,1.2,0.0,0.0,0.0,0.0,0.13333,56.5,0.6,374.0,0.08359,0.42094,2.57202,0.45341,0.11482,0.29904,C15H18O9S,PUCs,Lignin-like,POCs
15,19,9,0,0,0,1,CHOP,Lignin,7.0,-2.0,0.0,0.15789,0.6,1.26667,0.0,0.06667,0.0,inf,-0.4,71.7,0.6,374.0,0.1609,0.34352,2.64882,0.37598,0.03746,0.22164,C15H19O9P,PUCs,Lignin-like,POCs
15,18,11,0,0,0,0,CHO,Tannin,7.0,-4.0,0.0,0.15789,0.73333,1.2,0.0,0.0,0.0,0.0,0.26667,52.7,0.73333,374.0,0.14452,0.35993,2.63255,0.39239,0.05385,0.23804,C15H18O11,PUCs,Tannin-like,POCs
26,14,3,0,0,0,0,CHO,ConHC,20.0,17.0,0.73913,0.7551,0.11538,0.53846,0.0,0.0,0.0,0.0,-0.30769,69.06923,0.11538,374.0,0.06221,0.44235,2.55079,0.47481,0.1362,0.32043,C26H14O3,PAs,Cond. aromatic-like,POCs
19,18,8,0,0,0,0,CHO,Lignin,11.0,3.0,0.27273,0.46667,0.42105,0.94737,0.0,0.0,0.0,0.0,-0.10526,63.3,0.42105,374.0,0.10316,0.40134,2.59147,0.4338,0.09523,0.27944,C19H18O8,PUCs,Lignin-like,POCs
16,22,8,0,0,1,0,CHOS,Lignin,6.0,-2.0,0.0,0.09091,0.5,1.375,0.0,0.0,0.0,0.0,-0.25,67.425,0.5,374.0,0.04183,0.46275,2.53055,0.49522,0.15659,0.34083,C16H22O8S,PUCs,Lignin-like,Lipid
11,23,10,2,0,0,1,CHONP,Carb,2.0,-8.0,0.0,0.0,0.90909,2.09091,0.18182,0.09091,2.0,0.5,-0.18182,65.48182,1.09091,374.0,0.1563,0.34813,2.64426,0.38058,0.04206,0.22624,C11H23O10N2P,SSCs,Aliphatic-like,Amino sugars
16,23,8,0,0,0,1,CHOP,Lignin,6.0,-2.0,0.0,0.09091,0.5,1.4375,0.0,0.0625,0.0,inf,-0.75,81.675,0.5,374.0,0.11915,0.38533,2.60735,0.41779,0.07924,0.26344,C16H23O8P,PUCs,Lignin-like,Lipid
16,22,10,0,0,0,0,CHO,Lignin,6.0,-4.0,0.0,0.09091,0.625,1.375,0.0,0.0,0.0,0.0,-0.125,63.8625,0.625,374.0,0.10276,0.40174,2.59107,0.4342,0.09563,0.27984,C16H22O10,PUCs,Lignin-like,Not Matched
27,18,2,0,0,0,0,CHO,ConHC,19.0,17.0,0.68,0.69231,0.07407,0.66667,0.0,0.0,0.0,0.0,-0.51852,75.07778,0.07407,374.0,0.02046,0.48416,2.50931,0.51663,0.17798,0.36223,C27H18O2,PAs,Cond. aromatic-like,POCs
20,22,7,0,0,0,0,CHO,Lignin,10.0,3.0,0.23077,0.39394,0.35,1.1,0.0,0.0,0.0,0.0,-0.4,71.7,0.35,374.0,0.06141,0.44315,2.55,0.47561,0.137,0.32123,C20H22O7,PUCs,Lignin-like,POCs
17,27,7,0,0,0,1,CHOP,Protein,5.0,-2.0,0.0,0.04,0.41176,1.58824,0.0,0.05882,0.0,inf,-1.05882,90.47647,0.41176,374.0,0.07739,0.42714,2.56587,0.45961,0.12101,0.30523,C17H27O7P,UAAs,Aliphatic-like,Lipid
17,26,9,0,0,0,0,CHO,Protein,5.0,-4.0,0.0,0.04,0.52941,1.52941,0.0,0.0,0.0,0.0,-0.47059,73.71176,0.52941,374.0,0.06101,0.44355,2.5496,0.47601,0.1374,0.32163,C17H26O9,UAAs,Aliphatic-like,Lipid
28,22,1,0,0,0,0,CHO,ConHC,18.0,17.0,0.62963,0.63636,0.03571,0.78571,0.0,0.0,0.0,0.0,-0.71429,80.65714,0.03571,374.0,0.0213,0.52597,2.46784,0.55844,0.21975,0.40403,C28H22O,PPAs,Polyphenol-like,POCs
